Name,Hidden,Completion Status,Community Score
CROSSNIQ+,False,5 - Uncategorized,70
Cruel World,False,9 - Trash,
Crying Suns,False,5 - Uncategorized,59
crystal anomaly,False,9 - Trash,
Crystal Control II,False,9 - Trash,
Cuckoo Castle,False,9 - Trash,
Curious Expedition,False,5 - Uncategorized,78
Curse of the Crescent Isle DX,False,5 - Uncategorized,60
Cursed to Golf,False,5 - Uncategorized,
Cyber Hamster Tilt,False,9 - Trash,
Cyberhold (Prototype),False,9 - Trash,
Cycle 28,False,5 - Uncategorized,70
DAEMON X MACHINA,False,5 - Uncategorized,80
Danger Crew,False,5 - Uncategorized,70
Danger Scavenger,False,9 - Trash,
Dangerous Roads Ahead,False,9 - Trash,
Dark Deity,False,9 - Trash,
Dark Hope: A Puzzle Adventure,False,9 - Trash,
Dark Sheep,False,9 - Trash,
"Darkness Within 2: The Dark Lineage Director's Cut Edition",False,5 - Uncategorized,66
Darkwood,False,5 - Uncategorized,73
DATA LOSS,False,9 - Trash,
Dates & Wires,False,9 - Trash,
Dawn of a Soul,False,9 - Trash,
Daymare: 1998,False,5 - Uncategorized,72
Dayscream,False,9 - Trash,
Dead Cells,False,4 - Later,96
Dead Space,False,3 - Plan to Play,85
Dear Esther: Landmark Edition,False,5 - Uncategorized,72
Death and Taxes,False,6 - Completed,79
death by flower arrangement,False,9 - Trash,
Death Drives A Bus,False,9 - Trash,
Death Ray Manta SE (PC),False,9 - Trash,
Death Stranding,False,3 - Plan to Play,90
Death Stranding Content,False,9 - Trash,
DEATH STRANDING DIGITAL SOUNDTRACK,False,9 - Trash,
DEATHLOOP,False,4 - Later,76
"Death's Door",False,3 - Plan to Play,82
Decommissioner - GBJAM8 2020,False,9 - Trash,
Dee Dum (Computer),False,9 - Trash,
Deep Rock Galactic,False,5 - Uncategorized,82
Defold,True,5 - Uncategorized,77
Déjà Vu,False,5 - Uncategorized,80
Delver,False,5 - Uncategorized,80
Demetrios - The BIG Cynical Adventure,False,5 - Uncategorized,70
Democratic Socialism Simulator,False,5 - Uncategorized,70
demon DOIF,False,9 - Trash,
Demon Truck,False,5 - Uncategorized,70
Demonizer,False,9 - Trash,
"DEMON'S TILT",False,5 - Uncategorized,70
Density Experiment,False,9 - Trash,
Dépanneur Nocturne,False,9 - Trash,
Depth of Extinction,False,5 - Uncategorized,60
